id,parent_project_id,project_id,rfd_ref_no,transaction_type,transaction_date,value,currency,value_date,description,provider_org,receiver_org,disbursement_channel,sector,recipient_country,recipient_region,narrative,aid_type,tied_status,transaction_code,disbursement_channel_code,flow_type,finance_type
1000000005__12-05-1994-00:00:00_Commitment,1100000365,1000000005,,Commitment,1994-12-05T00:00:00.000Z,100957653.71,BEF,1994-12-05T00:00:00.000Z,1000000005 G-B-B-13-,IFAD,OFFICE OF MACRO-POLICY & INTERNATIONAL ECONOMIC COOPERATION,Money is disbursed through central Ministry of Finance or Treasury,,ER,ESA,1000000005 GRANTS,C01, ,2,1,20,110
1000000005_0019529100051013_10-18-1995-00:00:00_Disbursement,1100000365,1000000005,0019529100051013,Disbursement,1995-10-18T00:00:00.000Z,6585557.73,BEF,1995-10-18T00:00:00.000Z,1000000005 G-B-B-13-,IFAD,OFFICE OF MACRO-POLICY & INTERNATIONAL ECONOMIC COOPERATION,Money is disbursed through central Ministry of Finance or Treasury,,ER,ESA,1000000005 0019529100051013 Direct Payment/Reimbursement,C01, ,3,1,20,110
1000000005_0010429600051027_10-22-2004-00:00:00_Disbursement,1100000365,1000000005,0010429600051027,Disbursement,2004-10-22T00:00:00.000Z,3771741.52,BEF,2004-10-22T00:00:00.000Z,1000000005 G-B-B-13-,IFAD,OFFICE OF MACRO-POLICY & INTERNATIONAL ECONOMIC COOPERATION,Money is disbursed through central Ministry of Finance or Treasury,,ER,ESA,1000000005 0010429600051027 Direct Payment/Reimbursement,C01, ,3,1,20,110
1000000005_0010510400051028_04-14-2005-00:00:00_Disbursement,1100000365,1000000005,0010510400051028,Disbursement,2005-04-14T00:00:00.000Z,663232.51,BEF,2005-04-14T00:00:00.000Z,1000000005 G-B-B-13-,IFAD,OFFICE OF MACRO-POLICY & INTERNATIONAL ECONOMIC COOPERATION,Money is disbursed through central Ministry of Finance or Treasury,,ER,ESA,1000000005 0010510400051028 Direct Payment/Reimbursement,C01, ,3,1,20,110
1000000005_0010615900051034_06-08-2006-00:00:00_Disbursement,1100000365,1000000005,0010615900051034,Disbursement,2006-06-08T00:00:00.000Z,3364722.96,BEF,2006-06-08T00:00:00.000Z,1000000005 G-B-B-13-,IFAD,OFFICE OF MACRO-POLICY & INTERNATIONAL ECONOMIC COOPERATION,Money is disbursed through central Ministry of Finance or Treasury,,ER,ESA,1000000005 0010615900051034 Direct Payment/Reimbursement,C01, ,3,1,20,110
1000000005_0010004900051010_02-18-2000-00:00:00_Disbursement,1100000365,1000000005,0010004900051010,Disbursement,2000-02-18T00:00:00.000Z,445635.4,BEF,2000-02-18T00:00:00.000Z,1000000005 G-B-B-13-,IFAD,OFFICE OF MACRO-POLICY & INTERNATIONAL ECONOMIC COOPERATION,Money is disbursed through central Ministry of Finance or Treasury,,ER,ESA,1000000005 0010004900051010 Direct Payment/Reimbursement,C01, ,3,1,20,110
1000000005_0010021700051004_08-04-2000-00:00:00_Disbursement,1100000365,1000000005,0010021700051004,Disbursement,2000-08-04T00:00:00.000Z,106071.0,BEF,2000-08-04T00:00:00.000Z,1000000005 G-B-B-13-,IFAD,OFFICE OF MACRO-POLICY & INTERNATIONAL ECONOMIC COOPERATION,Money is disbursed through central Ministry of Finance or Treasury,,ER,ESA,1000000005 0010021700051004 Direct Payment/Reimbursement,C01, ,3,1,20,110
1000000005_0010106100051006_03-02-2001-00:00:00_Disbursement,1100000365,1000000005,0010106100051006,Disbursement,2001-03-02T00:00:00.000Z,206837.61,BEF,2001-03-02T00:00:00.000Z,1000000005 G-B-B-13-,IFAD,OFFICE OF MACRO-POLICY & INTERNATIONAL ECONOMIC COOPERATION,Money is disbursed through central Ministry of Finance or Treasury,,ER,ESA,1000000005 0010106100051006 Direct Payment/Reimbursement,C01, ,3,1,20,110
1000000005_0010515800051029_06-07-2005-00:00:00_Disbursement,1100000365,1000000005,0010515800051029,Disbursement,2005-06-07T00:00:00.000Z,1069932.85,BEF,2005-06-07T00:00:00.000Z,1000000005 G-B-B-13-,IFAD,OFFICE OF MACRO-POLICY & INTERNATIONAL ECONOMIC COOPERATION,Money is disbursed through central Ministry of Finance or Treasury,,ER,ESA,1000000005 0010515800051029 Direct Payment/Reimbursement,C01, ,3,1,20,110
1000000005_0010611100051033_04-21-2006-00:00:00_Disbursement,1100000365,1000000005,0010611100051033,Disbursement,2006-04-21T00:00:00.000Z,1143378.23,BEF,2006-04-21T00:00:00.000Z,1000000005 G-B-B-13-,IFAD,OFFICE OF MACRO-POLICY & INTERNATIONAL ECONOMIC COOPERATION,Money is disbursed through central Ministry of Finance or Treasury,,ER,ESA,1000000005 0010611100051033 Direct Payment/Reimbursement,C01, ,3,1,20,110
